,raw,normalized_per_cell,filter_dispersion,log1p,scale_to_10
306,,,,Rpl27a,Ilk
307,,,,Rpl28,Iqgap1
308,,,,Rpl29,Iscu
309,,,,Rpl3,Itgb1
310,,,,Rpl31,Itm2b
311,,,,Rpl32,Itm2c
312,,,,Rpl34-ps1,Jak1
313,,,,Rpl35,Jun
314,,,,Rpl35a,Junb
315,,,,Rpl36,Jund
316,,,,Rpl36a,Kdelr1
317,,,,Rpl36al,Kdelr2
318,,,,Rpl37,Kif5b
319,,,,Rpl37a,Klf13
320,,,,Rpl38,Klf6
321,,,,Rpl39,Krtcap2
322,,,,Rpl4,Lamp1
323,,,,Rpl41,Lamp2
324,,,,Rpl5,Lamtor2
325,,,,Rpl6,Laptm4a
326,,,,Rpl7,Laptm5
327,,,,Rpl7a,Lars2
328,,,,Rpl8,Ldha
329,,,,Rpl9,Lgals9
330,,,,Rplp0,Litaf
331,,,,Rplp1,Lman2
332,,,,Rplp2,Lmna
333,,,,Rpn2,Lsm4
334,,,,Rps10,Ly6e
335,,,,Rps11,M6pr
336,,,,Rps12,Malat1
337,,,,Rps13,Manf
338,,,,Rps14,Map1lc3a
339,,,,Rps15,Map1lc3b
340,,,,Rps15a,Map2k2
341,,,,Rps16,Mapre1
342,,,,Rps17,Marcks
343,,,,Rps18,Mat2a
344,,,,Rps19,Mbnl1
345,,,,Rps2,Mcl1
346,,,,Rps20,Mcmbp
347,,,,Rps21,Mdh1
348,,,,Rps23,Mdh2
349,,,,Rps24,Med28
350,,,,Rps25,Mif
351,,,,Rps26,Minos1
352,,,,Rps27,Mir682
353,,,,Rps27a,Mlf2
354,,,,Rps27l,Mll2
355,,,,Rps28,Mll5
356,,,,Rps29,Morf4l1
357,,,,Rps3,Morf4l2
358,,,,Rps3a,Mosc2
359,,,,Rps4x,Mrfap1
360,,,,Rps5,Msn
361,,,,Rps6,Mt1
362,,,,Rps7,Mtch1
363,,,,Rps8,Mtdh
364,,,,Rps9,Myeov2
365,,,,Rpsa,Myl12a
366,,,,Rrbp1,Myl12b
367,,,,Rtn3,Myl6
368,,,,S100a10,Naca
369,,,,S100a11,Napa
370,,,,Sat1,Ncl
371,,,,Scp2,Ncor1
372,,,,Sdcbp,Ndfip1
373,,,,Sdf4,Ndufa1
374,,,,Sdhb,Ndufa10
375,,,,Sec61b,Ndufa11
376,,,,Sec61g,Ndufa13
377,,,,Sec62,Ndufa2
378,,,,Selk,Ndufa3
379,,,,Sep15,Ndufa4
380,,,,Sept2,Ndufa6
381,,,,Sept7,Ndufa7
382,,,,Sepw1,Ndufa8
383,,,,Serbp1,Ndufa9
384,,,,Serf2,Ndufb10
385,,,,Set,Ndufb11
386,,,,Sh3bgrl3,Ndufb3
387,,,,Sh3glb1,Ndufb5
388,,,,Shfm1,Ndufb6
389,,,,Shisa5,Ndufb7
390,,,,Skp1a,Ndufb8
391,,,,Slc25a3,Ndufb9
392,,,,Slc25a5,Ndufc2
393,,,,Snrpb,Ndufs2
394,,,,Snrpe,Ndufs4
395,,,,Snrpf,Ndufs6
396,,,,Snrpg,Ndufs7
397,,,,Snx3,Ndufs8
398,,,,Sod1,Ndufv2
399,,,,Son,Ndufv3
400,,,,Spcs1,Nedd4
401,,,,Spcs2,Nedd8
402,,,,Sqstm1,Nfe2l2
403,,,,Sri,Nfkbia
404,,,,Srp14,Nhp2l1
405,,,,Srrm2,Nme1
406,,,,Srsf2,Nme2
407,,,,Srsf3,Nop10
408,,,,Srsf5,Npc2
409,,,,Ssb,Npm1
410,,,,Ssr1,Nras
411,,,,Ssr4,Nucb1
412,,,,Sub1,Nudc
413,,,,Sumo1,Oaz1
414,,,,Sumo2,Ociad1
415,,,,Swi5,Ost4
416,,,,Tagln2,Ostc
417,,,,Taldo1,Ostf1
418,,,,Tapbp,Otub1
419,,,,Tax1bp1,P4hb
420,,,,Tceb2,Pabpc1
421,,,,Tecr,Paip2
422,,,,Tmbim6,Park7
423,,,,Tmed10,Pcbp1
424,,,,Tmed2,Pcnp
425,,,,Tmed9,Pdcd4
426,,,,Tmem50a,Pdcd6
427,,,,Tmem59,Pdia3
428,,,,Tmsb10,Pdia6
429,,,,Tmsb4x,Pebp1
430,,,,Tomm20,Pfdn5
431,,,,Tomm6,Pfn1
432,,,,Tomm7,Pgam1
433,,,,Tpm3,Pgls
434,,,,Tpt1,Pgrmc1
435,,,,Tspo,Phb2
436,,,,Tuba1b,Pitpna
437,,,,Tubb5,Pkm2
438,,,,Txn1,Plec
439,,,,Uba52,Pnrc1
440,,,,Ubb,Polr1d
441,,,,Ubc,Polr2e
442,,,,Ube2b,Pomp
443,,,,Ube2d3,Ppia
444,,,,Ube2i,Ppib
445,,,,Ube2l3,Ppp1ca
446,,,,Ube2n,Ppp2ca
447,,,,Ubl5,Ppp2r1a
448,,,,Uqcr10,Ppp2r5c
449,,,,Uqcr11,Ppp4c
450,,,,Uqcrb,Prdx1
451,,,,Uqcrc1,Prdx2
452,,,,Uqcrh,Prdx5
453,,,,Uqcrq,Prdx6
454,,,,Usmg5,Prelid1
455,,,,Vamp8,Prkar1a
456,,,,Vapa,Prr13
457,,,,Vcp,Prrc2c
458,,,,Vdac2,Psap
459,,,,Ybx1,Psenen
460,,,,Ywhab,Psma1
461,,,,Ywhae,Psma2
462,,,,Ywhah,Psma3
463,,,,Ywhaq,Psma4
464,,,,Ywhaz,Psma5
465,,,,Zfp36l1,Psma6
466,,,,Zfp706,Psma7
467,,,,,Psmb1
468,,,,,Psmb2
469,,,,,Psmb3
470,,,,,Psmb4
471,,,,,Psmb5
472,,,,,Psmb6
473,,,,,Psmb8
474,,,,,Psmc2
475,,,,,Psmc3
476,,,,,Psmc4
477,,,,,Psmc5
478,,,,,Psmd11
479,,,,,Psmd4
480,,,,,Psmd7
481,,,,,Psmd8
482,,,,,Psme1
483,,,,,Psme2
484,,,,,Ptges3
485,,,,,Ptma
486,,,,,Ptms
487,,,,,Ptp4a2
488,,,,,Pttg1ip
489,,,,,Puf60
490,,,,,Rab1
491,,,,,Rab11a
492,,,,,Rab11b
493,,,,,Rab14
494,,,,,Rab2a
495,,,,,Rab7
496,,,,,Rabac1
497,,,,,Rac1
498,,,,,Raly
499,,,,,Ran
500,,,,,Ranbp1
501,,,,,Rap1a
502,,,,,Rap1b
503,,,,,Rbbp4
504,,,,,Rbbp7
505,,,,,Rbm3
506,,,,,Rbm39
507,,,,,Rbm42
508,,,,,Rbm8a
509,,,,,Rbx1
510,,,,,Reep5
511,,,,,Rer1
512,,,,,Rheb
513,,,,,Rhoa
514,,,,,Rhog
515,,,,,Rn45s
516,,,,,Rnase4
517,,,,,Rnasek
518,,,,,Rnaset2b
519,,,,,Rnf130
520,,,,,Rnf187
521,,,,,Rnh1
522,,,,,Rock1
523,,,,,Romo1
524,,,,,Rpl10
525,,,,,Rpl10a
526,,,,,Rpl11
527,,,,,Rpl12
528,,,,,Rpl13
529,,,,,Rpl13a
530,,,,,Rpl14
531,,,,,Rpl15
532,,,,,Rpl17
533,,,,,Rpl18
534,,,,,Rpl18a
535,,,,,Rpl19
536,,,,,Rpl21
537,,,,,Rpl22
538,,,,,Rpl22l1
539,,,,,Rpl23
540,,,,,Rpl23a
541,,,,,Rpl24
542,,,,,Rpl27
543,,,,,Rpl27a
544,,,,,Rpl28
545,,,,,Rpl29
546,,,,,Rpl3
547,,,,,Rpl31
548,,,,,Rpl32
549,,,,,Rpl34-ps1
550,,,,,Rpl35
551,,,,,Rpl35a
552,,,,,Rpl36
553,,,,,Rpl36a
554,,,,,Rpl36al
555,,,,,Rpl37
556,,,,,Rpl37a
557,,,,,Rpl38
558,,,,,Rpl39
559,,,,,Rpl4
560,,,,,Rpl41
561,,,,,Rpl5
562,,,,,Rpl6
563,,,,,Rpl7
564,,,,,Rpl7a
565,,,,,Rpl8
566,,,,,Rpl9
567,,,,,Rplp0
568,,,,,Rplp1
569,,,,,Rplp2
570,,,,,Rpn2
571,,,,,Rps10
572,,,,,Rps11
573,,,,,Rps12
574,,,,,Rps13
575,,,,,Rps14
576,,,,,Rps15
577,,,,,Rps15a
578,,,,,Rps16
579,,,,,Rps17
580,,,,,Rps18
581,,,,,Rps19
582,,,,,Rps2
583,,,,,Rps20
584,,,,,Rps21
585,,,,,Rps23
586,,,,,Rps24
587,,,,,Rps25
588,,,,,Rps26
589,,,,,Rps27
590,,,,,Rps27a
591,,,,,Rps27l
592,,,,,Rps28
593,,,,,Rps29
594,,,,,Rps3
595,,,,,Rps3a
596,,,,,Rps4x
597,,,,,Rps5
598,,,,,Rps6
599,,,,,Rps7
600,,,,,Rps8
601,,,,,Rps9
602,,,,,Rpsa
603,,,,,Rrbp1
604,,,,,Rrp1
605,,,,,Rtn3
606,,,,,S100a10
607,,,,,S100a11
608,,,,,S100a16
609,,,,,S100a6
610,,,,,Sat1
611,,,,,Sbds
612,,,,,Scp2
613,,,,,Sdc4
614,,,,,Sdcbp
615,,,,,Sdf4
616,,,,,Sdha
617,,,,,Sdhb
618,,,,,Sdhc
619,,,,,Sdhd
620,,,,,Sec11a
621,,,,,Sec11c
622,,,,,Sec13
623,,,,,Sec61a1
624,,,,,Sec61b
625,,,,,Sec61g
626,,,,,Sec62
627,,,,,Selk
628,,,,,Sep15
629,,,,,Sepp1
630,,,,,Sept2
631,,,,,Sept7
632,,,,,Sepw1
633,,,,,Serbp1
634,,,,,Serf2
635,,,,,Serinc3
636,,,,,Serp1
637,,,,,Set
638,,,,,Sf3b1
639,,,,,Sf3b2
640,,,,,Sfr1
641,,,,,Sh3bgrl3
642,,,,,Sh3glb1
643,,,,,Shfm1
644,,,,,Shisa5
645,,,,,Skil
646,,,,,Skp1a
647,,,,,Slc25a3
648,,,,,Slc25a4
649,,,,,Slc25a5
650,,,,,Slc3a2
651,,,,,Snrpb
652,,,,,Snrpd3
653,,,,,Snrpe
654,,,,,Snrpg
655,,,,,Snx3
656,,,,,Sod1
657,,,,,Son
658,,,,,Sparc
659,,,,,Spcs1
660,,,,,Spcs2
661,,,,,Spnb2
662,,,,,Sqstm1
663,,,,,Srgn
664,,,,,Sri
665,,,,,Srp14
666,,,,,Srrm2
667,,,,,Srsf11
668,,,,,Srsf2
669,,,,,Srsf3
670,,,,,Srsf5
671,,,,,Ssb
672,,,,,Ssr1
673,,,,,Ssr2
674,,,,,Ssr4
675,,,,,Ssu72
676,,,,,Sub1
677,,,,,Sumo1
678,,,,,Sumo2
679,,,,,Sumo3
680,,,,,Surf4
681,,,,,Swi5
682,,,,,Syngr2
683,,,,,Tagln2
684,,,,,Taldo1
685,,,,,Tapbp
686,,,,,Tax1bp1
687,,,,,Tbrg1
688,,,,,Tceb2
689,,,,,Tcf25
690,,,,,Tcp1
691,,,,,Tecr
692,,,,,Timm13
693,,,,,Tkt
694,,,,,Tln1
695,,,,,Tm9sf2
696,,,,,Tmbim4
697,,,,,Tmbim6
698,,,,,Tmed10
699,,,,,Tmed2
700,,,,,Tmed3
701,,,,,Tmed9
702,,,,,Tmem14c
703,,,,,Tmem176b
704,,,,,Tmem50a
705,,,,,Tmem59
706,,,,,Tmem66
707,,,,,Tmsb10
708,,,,,Tmsb4x
709,,,,,Tomm20
710,,,,,Tomm22
711,,,,,Tomm6
712,,,,,Tomm7
713,,,,,Tpi1
714,,,,,Tpm3
715,,,,,Tpm4
716,,,,,Tpr
717,,,,,Tprgl
718,,,,,Tpt1
719,,,,,Tra2b
720,,,,,Tram1
721,,,,,Trmt112
722,,,,,Tsc22d3
723,,,,,Tsn
724,,,,,Tspan3
725,,,,,Tspo
726,,,,,Tuba1a
727,,,,,Tuba1b
728,,,,,Tuba1c
729,,,,,Tubb4b
730,,,,,Tubb5
731,,,,,Twf1
732,,,,,Txn1
733,,,,,Txn2
734,,,,,Txndc17
735,,,,,Txnip
736,,,,,Txnl4a
737,,,,,Uba52
738,,,,,Ubb
739,,,,,Ubc
740,,,,,Ube2b
741,,,,,Ube2d3
742,,,,,Ube2i
743,,,,,Ube2l3
744,,,,,Ube2n
745,,,,,Ube2v1
746,,,,,Ubl5
747,,,,,Ubxn1
748,,,,,Ubxn4
749,,,,,Ucp2
750,,,,,Uqcr10
751,,,,,Uqcr11
752,,,,,Uqcrb
753,,,,,Uqcrc1
754,,,,,Uqcrc2
755,,,,,Uqcrfs1
756,,,,,Uqcrh
757,,,,,Uqcrq
758,,,,,Use1
759,,,,,Usmg5
760,,,,,Vamp8
761,,,,,Vapa
762,,,,,Vcp
763,,,,,Vdac1
764,,,,,Vdac2
765,,,,,Vdac3
766,,,,,Vim
767,,,,,Vps28
768,,,,,Vps29
769,,,,,Wasf2
770,,,,,Wbp2
771,,,,,Wdr1
772,,,,,Whsc1l1
773,,,,,Xbp1
774,,,,,Ybx1
775,,,,,Ypel3
776,,,,,Ywhab
777,,,,,Ywhae
778,,,,,Ywhah
779,,,,,Ywhaq
780,,,,,Ywhaz
781,,,,,Zfand5
782,,,,,Zfp187
783,,,,,Zfp207
784,,,,,Zfp36
785,,,,,Zfp36l1
786,,,,,Zfp706
787,,,,,
788,,,,,
789,,,,,
790,,,,,
791,,,,,
792,,,,,
793,,,,,
794,,,,,
795,,,,,
796,,,,,
797,,,,,
798,,,,,
799,,,,,
